YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,ตาก,รวม,หญิง,334617.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุโขทัย,รวม,หญิง,301923.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิษณุโลก,รวม,หญิง,432807.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิจิตร,รวม,หญิง,271383.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบูรณ์,รวม,หญิง,496138.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครราชสีมา,รวม,หญิง,1340371.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บุรีรัมย์,รวม,หญิง,796274.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุรินทร์,รวม,หญิง,691876.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ศรีสะเกษ,รวม,หญิง,732130.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุบลราชธานี,รวม,หญิง,936053.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยโสธร,รวม,หญิง,267449.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยภูมิ,รวม,หญิง,567966.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อำนาจเจริญ,รวม,หญิง,189228.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บึงกาฬ,รวม,หญิง,210501.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองบัวลำภู,รวม,หญิง,255244.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ขอนแก่น,รวม,หญิง,911014.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุดรธานี,รวม,หญิง,791153.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เลย,รวม,หญิง,318783.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองคาย,รวม,หญิง,260575.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มหาสารคาม,รวม,หญิง,483334.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ร้อยเอ็ด,รวม,หญิง,654130.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
